symbol,shortName,longName,sector,industry,longBusinessSummary,country,state,zip,logo_url
PG,Procter & Gamble Company (The),The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,"The Procter & Gamble Company provides branded consumer packaged goods to consumers in North and Latin America, Europe, the Asia Pacific, Greater China, India, the Middle East, and Africa. It operates in five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments; and antiperspirants and deodorants, personal cleansing, and skin care products under the Head & Shoulders, Herbal Essences, Pantene, Rejoice, Olay, Old Spice, Safeguard, Secret, and SK-II brands.  The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio.",United States,OH,45202,https://logo.clearbit.com/pginvestor.com
NFLX,"Netflix, Inc.","Netflix, Inc.",Communication Services,Entertainment,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, and feature films across various genres and languages. The company provides members the ability to receive streaming content through a host of Internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services. The company has approximately 204 million paid members in 190 countries. Netflix, Inc. was founded in 1997 and is headquartered in Los Gatos, California.",United States,CA,95032,https://logo.clearbit.com/netflix.com
MPWR,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc.",Technology,Semiconductors,"Monolithic Power Systems, Inc. designs, develops, and markets integrated power semiconductor solutions and power delivery architectures for computing and storage, automotive, industrial, communications, and consumer applications markets. It offers direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of various electronic systems, such as portable electronic devices, wireless LAN access points, computers and notebooks, monitors, infotainment applications, and medical equipment. The company also provides lighting control ICs for backlighting that are used in systems, which provide the light source for LCD panels in notebook computers, monitors, car navigation systems, and televisions, as well as for general illumination products. The company sells its products through third-party distributors, and value-added resellers, as well as directly to original equipment manufacturers, original design manufacturers, electronic manufacturing service providers, and other end customers in China, Taiwan, Europe, South Korea, Southeast Asia, Japan, the United States, and internationally. Monolithic Power Systems, Inc. was incorporated in 1997 and is headquartered in Kirkland, Washington.",United States,WA,98033,https://logo.clearbit.com/monolithicpower.com
KEYS,Keysight Technologies Inc.,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,"Keysight Technologies, Inc. provides electronic design and test solutions to commercial communications, networking, aerospace, defense and government, automotive, energy, semiconductor, electronic, and education industries in the Americas, Europe, and the Asia Pacific. Its Communications Solutions Group segment provides electronic design automation (EDA) software; radio frequency and microwave test instruments; hardware and virtual network test platforms and software applications, including data center, routing and switching, software defined networking, security, and encryption; oscilloscopes, logic and serial protocol analyzers, logic-signal sources, arbitrary waveform generators, and bit error rate testers; optical modulation analyzers, optical component analyzers, optical power meters, and optical laser source solutions; and repair, calibration, and consulting services, as well as resells refurbished used Keysight equipment. The company's Electronic Industrial Solutions Group segment offers design tools; design verification solutions; and digital multi-meters, function generators, frequency counters, data acquisition systems, audio analyzers, LCR meters, thermal imagers, precision source measure units, ultra-high precision device current analyzers, and test executive software platforms, as well as various power supplies comprising AC/DC modular supplies and electronically programmable loads. This segment also provides printed-circuit-board-assembly testers, integrated circuit parametric testers, and sub-nano-meter positioning sub-assemblies; test and measurement products and software; and repair, calibration, and consulting services, as well as resells refurbished used Keysight equipment. The company sells its products through direct sales force, distributors, resellers, and manufacturer's representatives. Keysight Technologies, Inc. was incorporated in 2013 and is headquartered in Santa Rosa, California.",United States,CA,95403-1738,https://logo.clearbit.com/keysight.com
KLAC,KLA Corporation,KLA Corporation,Technology,Semiconductor Equipment & Materials,"KLA Corporation designs, manufactures, and markets process control and yield management solutions for the semiconductor and related nanoelectronics industries worldwide. The company offers chip and wafer manufacturing products, including defect inspection and review systems, metrology solutions, in situ process monitoring products, computational lithography software, and data analytics systems for chip manufacturers to manage yield throughout the semiconductor fabrication process. It also provides reticle manufacturing products, such as reticle inspection, metrology, and data analytics systems for mask shops; and packaging manufacturing products comprising wafer inspection and metrology, die sorting and inspection, IC component inspection and metrology, data analytics, wafer processing systems, and IC substrate production processes. In addition, the company offers compound semiconductor, power device, light emitting diode, and microelectromechanical system manufacturing products; data storage media/head manufacturing products; general purpose/lab applications; and previous-generation KLA systems. Further, it provides wafer processing solutions; printed circuit boards, and display and inspection components; and other services. The company was formerly known as KLA-Tencor Corporation and changed its name to KLA Corporation in July 2019. KLA Corporation was incorporated in 1975 and is headquartered in Milpitas, California.",United States,CA,95035,https://logo.clearbit.com/kla.com
JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers—General,"Johnson & Johnson researches and develops, manufactures, and sells a range of products in the health care field worldwide. It operates through three segments: Consumer Health, Pharmaceutical, and Medical Devices. The Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; smoking cessation products under the NICORETTE brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides electrophysiology products to treat cardiovascular diseases and neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. Johnson & Johnson was founded in 1886 and is based in New Brunswick, New Jersey.",United States,NJ,08933,https://logo.clearbit.com/jnj.com
INTU,Intuit Inc.,Intuit Inc.,Technology,Software—Application,"Intuit Inc. provides financial management and compliance products and services for consumers, small businesses, self-employed, and accounting professionals in the United States, Canada, and internationally. The company operates in three segments: Small Business & Self-Employed, Consumer, and Strategic Partner. The Small Business & Self-Employed segment provides QuickBooks online services and desktop software solutions comprising QuickBooks Online Advanced, a cloud-based solution; QuickBooks Enterprise, a hosted solution; QuickBooks Self-Employed solution; and QuickBooks Online Accountant and QuickBooks Accountant Desktop Plus solutions; payroll solutions, such as online payroll processing, direct deposit of employee paychecks, payroll reports, electronic payment of federal and state payroll taxes, and electronic filing of federal and state payroll tax forms. This segment also offers payment-processing solutions, including credit and debit cards, and ACH payment services; and financial supplies and financing for small businesses. Its Consumer segment provides TurboTax income tax preparation products and services; and personal finance. The company's Strategic Partner segment offers Lacerte, ProSeries, and ProFile desktop tax-preparation software products; and ProConnect Tax Online tax products, electronic tax filing service, and bank products and related services. It sells products and services through various sales and distribution channels, including multi-channel shop-and-buy experiences, websites and call centers, mobile application stores, and retail and other channels. Intuit Inc. has a collaboration agreement with Red Hat, Inc. on Argo CD, a declarative continuous delivery tool for Kubernetes deployments; and a strategic agreement with Visa Inc. The company was founded in 1983 and is headquartered in Mountain View, California.",United States,CA,94043,https://logo.clearbit.com/intuit.com
GNRC,Generac Holdlings Inc.,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,"Generac Holdings Inc. designs, manufactures, and sells power generation equipment, energy storage systems, and other power products for the residential, and light commercial and industrial markets worldwide. The company offers engines, alternators, transfer switches, and other components fueled by natural gas, liquid propane, gasoline, diesel, and bi-fuel; and batteries and inverters. It also provides residential automatic standby generators ranging in output from 7.5kW to 150kW; air-cooled engine residential standby generators ranging from 7.5kW to 24kW; liquid-cooled engine generators with outputs ranging from 22kW to 150kW; and Mobile Link, a remote monitoring system for home standby generators. In addition, the company offers various portable generators ranging in size from 800W to 17.5kW; engine driven power washers; water pumps; outdoor power equipment, such as trimmers and brush mowers, log splitters, lawn and leaf vacuums, and chipper shredders; and clean energy solution under the PWRcell and PWRview brands. Further, it provides light towers, mobile generators, and flameless heaters; light-commercial standby generators ranging from 22kW to 150kW and related transfer switches providing three-phase power for small and mid-sized businesses; and industrial generators ranging in output from 10kW up to 3,250kW used as emergency backup for healthcare, telecom, datacom, commercial office, retail, municipal, and manufacturing markets. Additionally, the company sells aftermarket service parts and product accessories to dealers. It distributes its products through independent residential dealers, industrial distributors and dealers, national and regional retailers, e-commerce partners, electrical, HVAC and solar wholesalers, catalogs, equipment rental companies and distributors, and solar installers; and directly to end users. Generac Holdings Inc. was founded in 1959 and is headquartered in Waukesha, Wisconsin.",United States,WI,53189,https://logo.clearbit.com/generac.com
EL,"Estee Lauder Companies, Inc. (T",The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,"The EstÃ©e Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. The company offers a range of skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, cleansing devices, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. It also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. The company offers its products under EstÃ©e Lauder, Aramis, Clinique, Lab Series, Origins, MÂ·AÂ·C, Bobbi Brown, La Mer, Aveda, Jo Malone London, Bumble and bumble, Darphin, Smashbox, Le Labo, Editions de Parfums FrÃ©dÃ©ric Malle, GLAMGLOW, By Kilian, BECCA, Too Faced, Dr. Jart+, DECIEM, and The Ordinary brands. It also holds license arrangements for Tommy Hilfiger, Donna Karan New York, DKNY, Michael Kors, and Ermenegildo Zegna brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and in-flight and duty-free shops. The company was founded in 1946 and is headquartered in New York, New York.",United States,NY,10153,https://logo.clearbit.com/elcompanies.com
EXP,Eagle Materials Inc,Eagle Materials Inc.,Basic Materials,Building Materials,"Eagle Materials Inc., through its subsidiaries, produces and supplies heavy construction materials, light building materials, and materials used for oil and natural gas extraction in the United States. It operates in five segments: Cement, Concrete and Aggregates, Gypsum Wallboard, Recycled Paperboard, and Oil and Gas Proppants. The company engages in the mining of limestone for the manufacture, production, distribution, and sale of Portland cement; grinding and sale of slag; and mining of gypsum for the manufacture and sale of gypsum wallboards used to finish the interior walls and ceilings in residential, commercial, and industrial structures. It is also involved in the manufacture and sale of recycled paperboard for the gypsum wallboard industry and other paperboard converters, as well as provision of containerboard grade and lightweight packaging grade products. In addition, the company engages in the sale of ready-mix concrete; mining, extracting, production, and sale of aggregates, including crushed stones, sand, and gravel; and mining and sale of sand used in hydraulic fracturing, such as frac sand. Its products are used in commercial and residential construction; public construction projects; projects to build, expand, and repair roads and highways; and oil and natural gas extraction. The company was formerly known as Centex Construction Products, Inc. and changed its name to Eagle Materials, Inc. in January 2004. Eagle Materials Inc. was founded in 1963 and is headquartered in Dallas, Texas.",United States,TX,75225,https://logo.clearbit.com/eaglematerials.com
